Palavra_correta,palavra_inicial,N_de_tentativas,Chutes,Vitoria
gosto,serao,5,"('serao', 'nisto', 'custo', 'posto', 'gosto')",True
casto,serao,2,"('serao', 'casto')",True
fraca,serao,5,"('serao', 'latir', 'praca', 'graca', 'fraca')",True
agudo,serao,3,"('serao', 'laico', 'agudo')",True
sovar,serao,6,"('serao', 'solar', 'socar', 'sonar', 'somar', 'sovar')",True
fatos,serao,5,"('serao', 'coisa', 'altos', 'matos', 'fatos')",True
torso,serao,3,"('serao', 'curso', 'torso')",True
tumba,serao,3,"('serao', 'cinta', 'tumba')",True
veste,serao,5,"('serao', 'tenis', 'leste', 'peste', 'veste')",True
leoes,serao,3,"('serao', 'meios', 'leoes')",True
secar,serao,3,"('serao', 'selar', 'secar')",True
berro,serao,5,"('serao', 'certo', 'lerdo', 'nervo', 'berro')",True
sutis,serao,3,"('serao', 'sutil', 'sutis')",True
bispo,serao,4,"('serao', 'nisto', 'fisco', 'bispo')",True
locao,serao,3,"('serao', 'licao', 'locao')",True
pesar,serao,4,"('serao', 'retas', 'lesar', 'pesar')",True
digno,serao,3,"('serao', 'cinto', 'digno')",True
bamba,serao,5,"('serao', 'cinta', 'pluma', 'gamba', 'bamba')",True
broca,serao,4,"('serao', 'loira', 'troca', 'broca')",True
hiato,serao,4,"('serao', 'laico', 'inato', 'hiato')",True
clube,serao,3,"('serao', 'clipe', 'clube')",True
totem,serao,4,"('serao', 'noite', 'motel', 'totem')",True
prumo,serao,3,"('serao', 'litro', 'prumo')",True
meios,serao,2,"('serao', 'meios')",True
vulgo,serao,4,"('serao', 'cinto', 'duplo', 'vulgo')",True
esqui,serao,3,"('serao', 'uteis', 'esqui')",True
epico,serao,3,"('serao', 'etico', 'epico')",True
minha,serao,5,"('serao', 'cinta', 'linda', 'pinga', 'minha')",True
ainda,serao,5,"('serao', 'cinta', 'linda', 'vinda', 'ainda')",True
remar,serao,5,"('serao', 'pecar', 'vetar', 'gelar', 'remar')",True
manso,serao,4,"('serao', 'casto', 'lapso', 'manso')",True
ousar,serao,3,"('serao', 'tosar', 'ousar')",True
viral,serao,2,"('serao', 'viral')",True
ovulo,serao,4,"('serao', 'cinto', 'duplo', 'ovulo')",True
trote,serao,4,"('serao', 'comer', 'prole', 'trote')",True
artes,serao,3,"('serao', 'aries', 'artes')",True
facas,serao,6,"('serao', 'dicas', 'tacas', 'macas', 'vacas', 'facas')",True
brava,serao,6,"('serao', 'latir', 'praca', 'drama', 'grana', 'brava')",True
meiga,serao,4,"('serao', 'celta', 'media', 'meiga')",True
campo,serao,4,"('serao', 'laico', 'canto', 'campo')",True
levar,serao,4,"('serao', 'pecar', 'vetar', 'levar')",True
preta,serao,3,"('serao', 'trela', 'preta')",True
lebre,serao,4,"('serao', 'medir', 'rente', 'lebre')",True
pobre,serao,4,"('serao', 'comer', 'nobre', 'pobre')",True
gesso,serao,4,"('serao', 'cesto', 'vesgo', 'gesso')",True
sabia,serao,4,"('serao', 'sutia', 'sadia', 'sabia')",True
freio,serao,3,"('serao', 'treco', 'freio')",True
marte,serao,3,"('serao', 'carie', 'marte')",True
clara,serao,3,"('serao', 'latir', 'clara')",True
magos,serao,5,"('serao', 'coisa', 'altos', 'panos', 'magos')",True
reino,serao,2,"('serao', 'reino')",True
murro,serao,3,"('serao', 'turco', 'murro')",True
calar,serao,3,"('serao', 'citar', 'calar')",True
prosa,serao,4,"('serao', 'raios', 'ostra', 'prosa')",True
feita,serao,3,"('serao', 'celta', 'feita')",True
folga,serao,4,"('serao', 'otica', 'lomba', 'folga')",True
terco,serao,3,"('serao', 'certo', 'terco')",True
patas,serao,4,"('serao', 'dicas', 'luvas', 'patas')",True
vogal,serao,4,"('serao', 'bocal', 'total', 'vogal')",True
ziper,serao,3,"('serao', 'tripe', 'ziper')",True
divas,serao,3,"('serao', 'dicas', 'divas')",True
borda,serao,4,"('serao', 'porta', 'corda', 'borda')",True
penar,serao,3,"('serao', 'pecar', 'penar')",True
errar,serao,2,"('serao', 'errar')",True
nevoa,serao,2,"('serao', 'nevoa')",True
morto,serao,3,"('serao', 'turco', 'morto')",True
forma,serao,5,"('serao', 'porta', 'corda', 'morna', 'forma')",True
aureo,serao,2,"('serao', 'aureo')",True
vapor,serao,4,"('serao', 'loira', 'autor', 'vapor')",True
circo,serao,3,"('serao', 'turco', 'circo')",True
faixa,serao,6,"('serao', 'cinta', 'duzia', 'axila', 'baixa', 'faixa')",True
beijo,serao,4,"('serao', 'leito', 'meigo', 'beijo')",True
bufao,serao,4,"('serao', 'licao', 'tufao', 'bufao')",True
pedir,serao,3,"('serao', 'medir', 'pedir')",True
tropa,serao,4,"('serao', 'loira', 'troca', 'tropa')",True
vital,serao,2,"('serao', 'vital')",True
vento,serao,4,"('serao', 'leito', 'cento', 'vento')",True
carie,serao,2,"('serao', 'carie')",True
vespa,serao,4,"('serao', 'cesta', 'lesma', 'vespa')",True
negro,serao,3,"('serao', 'reino', 'negro')",True
pardo,serao,4,"('serao', 'parto', 'parco', 'pardo')",True
local,serao,5,"('serao', 'bocal', 'vocal', 'focal', 'local')",True
beato,serao,2,"('serao', 'beato')",True
quais,serao,4,"('serao', 'mista', 'lapis', 'quais')",True
frase,serao,4,"('serao', 'aries', 'crase', 'frase')",True
sucos,serao,2,"('serao', 'sucos')",True
botao,serao,4,"('serao', 'licao', 'tufao', 'botao')",True
balsa,serao,4,"('serao', 'mista', 'blusa', 'balsa')",True
foice,serao,3,"('serao', 'noite', 'foice')",True
nozes,serao,5,"('serao', 'poste', 'doces', 'nomes', 'nozes')",True
dente,serao,5,"('serao', 'cetim', 'lente', 'pente', 'dente')",True
cedro,serao,4,"('serao', 'reino', 'cetro', 'cedro')",True
aceno,serao,2,"('serao', 'aceno')",True
repor,serao,4,"('serao', 'tenor', 'depor', 'repor')",True
leque,serao,3,"('serao', 'cetim', 'leque')",True
drama,serao,4,"('serao', 'latir', 'praca', 'drama')",True
forno,serao,5,"('serao', 'turco', 'lirio', 'morno', 'forno')",True
tarde,serao,4,"('serao', 'carie', 'marte', 'tarde')",True
sarro,serao,2,"('serao', 'sarro')",True
certa,serao,2,"('serao', 'certa')",True
trama,serao,4,"('serao', 'latir', 'gruta', 'trama')",True
milho,serao,4,"('serao', 'cinto', 'limpo', 'milho')",True
dreno,serao,4,"('serao', 'treco', 'freio', 'dreno')",True
carma,serao,4,"('serao', 'abril', 'turma', 'carma')",True
poeta,serao,2,"('serao', 'poeta')",True
mafia,serao,6,"('serao', 'cinta', 'duzia', 'labia', 'magia', 'mafia')",True
lenco,serao,3,"('serao', 'leito', 'lenco')",True
nunca,serao,4,"('serao', 'cinta', 'lanca', 'nunca')",True
ficha,serao,3,"('serao', 'cinta', 'ficha')",True
otica,serao,2,"('serao', 'otica')",True
molho,serao,5,"('serao', 'cinto', 'duplo', 'lombo', 'molho')",True
barao,serao,3,"('serao', 'pirao', 'barao')",True
cutis,serao,2,"('serao', 'cutis')",True
toada,serao,4,"('serao', 'otica', 'ponta', 'toada')",True
trens,serao,3,"('serao', 'riste', 'trens')",True
chale,serao,4,"('serao', 'etica', 'caule', 'chale')",True
ciclo,serao,3,"('serao', 'cinto', 'ciclo')",True
leigo,serao,3,"('serao', 'leito', 'leigo')",True
golpe,serao,4,"('serao', 'noite', 'couve', 'golpe')",True
haver,serao,4,"('serao', 'trela', 'caber', 'haver')",True
varal,serao,3,"('serao', 'viral', 'varal')",True
ritos,serao,2,"('serao', 'ritos')",True
fibra,serao,5,"('serao', 'latir', 'ruina', 'cifra', 'fibra')",True
nervo,serao,4,"('serao', 'certo', 'lerdo', 'nervo')",True
irmas,serao,2,"('serao', 'irmas')",True
sagaz,serao,3,"('serao', 'sinal', 'sagaz')",True
gente,serao,6,"('serao', 'cetim', 'lente', 'pente', 'dente', 'gente')",True
pombo,serao,4,"('serao', 'cinto', 'duplo', 'pombo')",True
zinco,serao,3,"('serao', 'cinto', 'zinco')",True
pavor,serao,5,"('serao', 'loira', 'autor', 'vapor', 'pavor')",True
feixe,serao,4,"('serao', 'cetim', 'peixe', 'feixe')",True
pular,serao,4,"('serao', 'citar', 'lunar', 'pular')",True
titia,serao,4,"('serao', 'cinta', 'tibia', 'titia')",True
deter,serao,3,"('serao', 'medir', 'deter')",True
axila,serao,4,"('serao', 'cinta', 'duzia', 'axila')",True
brejo,serao,6,"('serao', 'treco', 'freio', 'dreno', 'prego', 'brejo')",True
rever,serao,5,"('serao', 'medir', 'tecer', 'reler', 'rever')",True
naipe,serao,4,"('serao', 'etica', 'baile', 'naipe')",True
arder,serao,4,"('serao', 'trela', 'grade', 'arder')",True
entao,serao,2,"('serao', 'entao')",True
pleno,serao,4,"('serao', 'etico', 'duelo', 'pleno')",True
parma,serao,5,"('serao', 'abril', 'turma', 'carma', 'parma')",True
juizo,serao,5,"('serao', 'cinto', 'umido', 'quilo', 'juizo')",True
noite,serao,2,"('serao', 'noite')",True
seiva,serao,3,"('serao', 'seita', 'seiva')",True
furor,serao,3,"('serao', 'forum', 'furor')",True
janta,serao,4,"('serao', 'cinta', 'manta', 'janta')",True
mover,serao,3,"('serao', 'comer', 'mover')",True
vidro,serao,3,"('serao', 'litro', 'vidro')",True
votar,serao,6,"('serao', 'lotar', 'notar', 'dotar', 'botar', 'votar')",True
brasa,serao,3,"('serao', 'brisa', 'brasa')",True
areal,serao,2,"('serao', 'areal')",True
jarro,serao,5,"('serao', 'parto', 'barco', 'fardo', 'jarro')",True
pocos,serao,4,"('serao', 'mitos', 'nulos', 'pocos')",True
nossa,serao,4,"('serao', 'coisa', 'lousa', 'nossa')",True
boiar,serao,3,"('serao', 'lotar', 'boiar')",True
outra,serao,3,"('serao', 'loira', 'outra')",True
pires,serao,2,"('serao', 'pires')",True
regar,serao,6,"('serao', 'pecar', 'vetar', 'gelar', 'negar', 'regar')",True
boato,serao,4,"('serao', 'laico', 'agudo', 'boato')",True
sumir,serao,2,"('serao', 'sumir')",True
lenta,serao,3,"('serao', 'celta', 'lenta')",True
loira,serao,2,"('serao', 'loira')",True
cinza,serao,3,"('serao', 'cinta', 'cinza')",True
fisco,serao,3,"('serao', 'nisto', 'fisco')",True
agora,serao,5,"('serao', 'loira', 'outra', 'amora', 'agora')",True
lazer,serao,4,"('serao', 'trela', 'lacre', 'lazer')",True
pista,serao,3,"('serao', 'mista', 'pista')",True
pulga,serao,4,"('serao', 'cinta', 'pluma', 'pulga')",True
fosca,serao,5,"('serao', 'coisa', 'tosca', 'mosca', 'fosca')",True
males,serao,3,"('serao', 'aneis', 'males')",True
conto,serao,3,"('serao', 'cinto', 'conto')",True
tocha,serao,4,"('serao', 'otica', 'conta', 'tocha')",True
retas,serao,2,"('serao', 'retas')",True
cuspe,serao,3,"('serao', 'uteis', 'cuspe')",True
persa,serao,2,"('serao', 'persa')",True
gemeo,serao,4,"('serao', 'leito', 'feudo', 'gemeo')",True
tenda,serao,3,"('serao', 'celta', 'tenda')",True
aguia,serao,4,"('serao', 'cinta', 'duzia', 'aguia')",True
meros,serao,2,"('serao', 'meros')",True
robos,serao,5,"('serao', 'ritos', 'rumos', 'rolos', 'robos')",True
lados,serao,4,"('serao', 'coisa', 'altos', 'lados')",True
areia,serao,3,"('serao', 'trela', 'areia')",True
impor,serao,3,"('serao', 'licor', 'impor')",True
vigor,serao,3,"('serao', 'licor', 'vigor')",True
medio,serao,3,"('serao', 'leito', 'medio')",True
matiz,serao,4,"('serao', 'cinta', 'latim', 'matiz')",True
orgao,serao,3,"('serao', 'irmao', 'orgao')",True
senso,serao,3,"('serao', 'sexto', 'senso')",True
novas,serao,6,"('serao', 'molas', 'todas', 'copas', 'joias', 'novas')",True
turco,serao,2,"('serao', 'turco')",True
densa,serao,4,"('serao', 'cesta', 'deusa', 'densa')",True
balas,serao,5,"('serao', 'dicas', 'luvas', 'atlas', 'balas')",True
bicho,serao,3,"('serao', 'cinto', 'bicho')",True
galao,serao,4,"('serao', 'licao', 'balao', 'galao')",True
atual,serao,3,"('serao', 'vital', 'atual')",True
monte,serao,3,"('serao', 'noite', 'monte')",True
tribo,serao,4,"('serao', 'litro', 'trico', 'tribo')",True
tarda,serao,4,"('serao', 'abril', 'turma', 'tarda')",True
baita,serao,4,"('serao', 'cinta', 'muita', 'baita')",True
ampla,serao,4,"('serao', 'cinta', 'pluma', 'ampla')",True
floco,serao,5,"('serao', 'cinto', 'louco', 'bloco', 'floco')",True
banjo,serao,6,"('serao', 'laico', 'manto', 'bando', 'banho', 'banjo')",True
olhos,serao,5,"('serao', 'mitos', 'nulos', 'lobos', 'olhos')",True
gasto,serao,5,"('serao', 'casto', 'pasto', 'vasto', 'gasto')",True
facil,serao,3,"('serao', 'cinta', 'facil')",True
acesa,serao,3,"('serao', 'aneis', 'acesa')",True
torto,serao,3,"('serao', 'turco', 'torto')",True
horta,serao,3,"('serao', 'porta', 'horta')",True
alcar,serao,4,"('serao', 'citar', 'fucar', 'alcar')",True
vivos,serao,6,"('serao', 'mitos', 'lidos', 'pinos', 'fixos', 'vivos')",True
gaita,serao,5,"('serao', 'cinta', 'muita', 'baita', 'gaita')",True
solto,serao,3,"('serao', 'suino', 'solto')",True
cetro,serao,3,"('serao', 'reino', 'cetro')",True
redes,serao,3,"('serao', 'reles', 'redes')",True
criar,serao,4,"('serao', 'citar', 'chiar', 'criar')",True
sacro,serao,2,"('serao', 'sacro')",True
banir,serao,3,"('serao', 'latir', 'banir')",True
prato,serao,3,"('serao', 'traco', 'prato')",True
miudo,serao,4,"('serao', 'cinto', 'limpo', 'miudo')",True
moida,serao,3,"('serao', 'otica', 'moida')",True
aliar,serao,5,"('serao', 'citar', 'impar', 'guiar', 'aliar')",True
bater,serao,3,"('serao', 'trela', 'bater')",True
fauna,serao,3,"('serao', 'cinta', 'fauna')",True
norte,serao,2,"('serao', 'norte')",True
haste,serao,3,"('serao', 'aneis', 'haste')",True
alado,serao,4,"('serao', 'laico', 'aluno', 'alado')",True
bloco,serao,4,"('serao', 'cinto', 'louco', 'bloco')",True
pinga,serao,4,"('serao', 'cinta', 'linda', 'pinga')",True
etico,serao,2,"('serao', 'etico')",True
corja,serao,4,"('serao', 'porta', 'corda', 'corja')",True
morno,serao,4,"('serao', 'turco', 'lirio', 'morno')",True
ideal,serao,2,"('serao', 'ideal')",True
fusao,serao,3,"('serao', 'cisao', 'fusao')",True
verao,serao,2,"('serao', 'verao')",True
vozes,serao,5,"('serao', 'poste', 'doces', 'nomes', 'vozes')",True
bilis,serao,3,"('serao', 'cutis', 'bilis')",True
impar,serao,3,"('serao', 'citar', 'impar')",True
sogra,serao,3,"('serao', 'sobra', 'sogra')",True
jovem,serao,4,"('serao', 'noite', 'movel', 'jovem')",True
testa,serao,5,"('serao', 'cesta', 'besta', 'festa', 'testa')",True
metal,serao,2,"('serao', 'metal')",True
falsa,serao,5,"('serao', 'mista', 'blusa', 'valsa', 'falsa')",True
bruto,serao,4,"('serao', 'litro', 'truco', 'bruto')",True
tenso,serao,3,"('serao', 'cesto', 'tenso')",True
dique,serao,4,"('serao', 'clipe', 'imune', 'dique')",True
fator,serao,4,"('serao', 'loira', 'autor', 'fator')",True
sutil,serao,2,"('serao', 'sutil')",True
grupo,serao,4,"('serao', 'litro', 'prumo', 'grupo')",True
matar,serao,4,"('serao', 'citar', 'lutar', 'matar')",True
motor,serao,4,"('serao', 'licor', 'pudor', 'motor')",True
meses,serao,3,"('serao', 'tenis', 'meses')",True
vazio,serao,5,"('serao', 'laico', 'patio', 'navio', 'vazio')",True
cujos,serao,5,"('serao', 'mitos', 'nulos', 'cubos', 'cujos')",True
parda,serao,5,"('serao', 'abril', 'turma', 'carpa', 'parda')",True
carpa,serao,4,"('serao', 'abril', 'turma', 'carpa')",True
arabe,serao,6,"('serao', 'trela', 'grade', 'praxe', 'arame', 'arabe')",True
plebe,serao,3,"('serao', 'clipe', 'plebe')",True
advir,serao,3,"('serao', 'latir', 'advir')",True
punir,serao,2,"('serao', 'punir')",True
rival,serao,3,"('serao', 'citar', 'rival')",True
trave,serao,3,"('serao', 'trela', 'trave')",True
trico,serao,3,"('serao', 'litro', 'trico')",True
lento,serao,3,"('serao', 'leito', 'lento')",True
sarda,serao,3,"('serao', 'surda', 'sarda')",True
rodar,serao,6,"('serao', 'lotar', 'boiar', 'pomar', 'focar', 'rodar')",False
caber,serao,3,"('serao', 'trela', 'caber')",True
sexta,serao,3,"('serao', 'seita', 'sexta')",True
sacra,serao,2,"('serao', 'sacra')",True
rolha,serao,3,"('serao', 'loira', 'rolha')",True
acude,serao,4,"('serao', 'etica', 'caule', 'acude')",True
casos,serao,5,"('serao', 'coisa', 'cabos', 'cacos', 'casos')",True
cisao,serao,2,"('serao', 'cisao')",True
chata,serao,4,"('serao', 'cinta', 'culta', 'chata')",True
ossos,serao,5,"('serao', 'mitos', 'nulos', 'pocos', 'ossos')",True
expor,serao,3,"('serao', 'comer', 'expor')",True
venda,serao,4,"('serao', 'celta', 'media', 'venda')",True
casco,serao,3,"('serao', 'casto', 'casco')",True
banco,serao,4,"('serao', 'laico', 'manco', 'banco')",True
bomba,serao,5,"('serao', 'otica', 'lomba', 'pomba', 'bomba')",True
sinal,serao,2,"('serao', 'sinal')",True
horto,serao,4,"('serao', 'turco', 'morto', 'horto')",True
ramos,serao,3,"('serao', 'raios', 'ramos')",True
fonte,serao,5,"('serao', 'noite', 'monte', 'ponte', 'fonte')",True
leito,serao,2,"('serao', 'leito')",True
cobre,serao,3,"('serao', 'comer', 'cobre')",True
tibia,serao,3,"('serao', 'cinta', 'tibia')",True
cinco,serao,3,"('serao', 'cinto', 'cinco')",True
noiva,serao,5,"('serao', 'otica', 'moida', 'boina', 'noiva')",True
ponto,serao,4,"('serao', 'cinto', 'junto', 'ponto')",True
aluno,serao,3,"('serao', 'laico', 'aluno')",True
traje,serao,4,"('serao', 'trela', 'trave', 'traje')",True
canal,serao,4,"('serao', 'vital', 'bucal', 'canal')",True
rouco,serao,4,"('serao', 'litro', 'prumo', 'rouco')",True
boate,serao,3,"('serao', 'poeta', 'boate')",True
mutuo,serao,4,"('serao', 'cinto', 'toldo', 'mutuo')",True
caros,serao,2,"('serao', 'caros')",True
lente,serao,3,"('serao', 'cetim', 'lente')",True
lares,serao,2,"('serao', 'lares')",True
sacar,serao,2,"('serao', 'sacar')",True
porem,serao,3,"('serao', 'norte', 'porem')",True
feudo,serao,3,"('serao', 'leito', 'feudo')",True
vezes,serao,4,"('serao', 'tenis', 'meses', 'vezes')",True
carga,serao,5,"('serao', 'abril', 'turma', 'carpa', 'carga')",True
inves,serao,3,"('serao', 'uteis', 'inves')",True
presa,serao,4,"('serao', 'aries', 'crase', 'presa')",True
geral,serao,2,"('serao', 'geral')",True
negar,serao,5,"('serao', 'pecar', 'vetar', 'gelar', 'negar')",True
atuar,serao,3,"('serao', 'citar', 'atuar')",True
ciume,serao,3,"('serao', 'clipe', 'ciume')",True
fiado,serao,5,"('serao', 'laico', 'inato', 'fiapo', 'fiado')",True
forca,serao,4,"('serao', 'porta', 'corda', 'forca')",True
corvo,serao,5,"('serao', 'turco', 'corno', 'corpo', 'corvo')",True
gordo,serao,6,"('serao', 'turco', 'lirio', 'morno', 'bordo', 'gordo')",True
tutor,serao,4,"('serao', 'licor', 'pudor', 'tutor')",True
duros,serao,4,"('serao', 'tiros', 'muros', 'duros')",True
exame,serao,3,"('serao', 'etica', 'exame')",True
caldo,serao,4,"('serao', 'laico', 'calmo', 'caldo')",True
cupim,serao,3,"('serao', 'futil', 'cupim')",True
otimo,serao,3,"('serao', 'cinto', 'otimo')",True
mamar,serao,5,"('serao', 'citar', 'lunar', 'ambar', 'mamar')",True
indio,serao,3,"('serao', 'cinto', 'indio')",True
autos,serao,4,"('serao', 'coisa', 'altos', 'autos')",True
pavio,serao,4,"('serao', 'laico', 'patio', 'pavio')",True
fobia,serao,4,"('serao', 'otica', 'viola', 'fobia')",True
jeito,serao,3,"('serao', 'leito', 'jeito')",True
votos,serao,3,"('serao', 'mitos', 'votos')",True
tesao,serao,2,"('serao', 'tesao')",True
lagoa,serao,4,"('serao', 'otica', 'lomba', 'lagoa')",True
pampa,serao,4,"('serao', 'cinta', 'pluma', 'pampa')",True
diodo,serao,4,"('serao', 'cinto', 'limpo', 'diodo')",True
parte,serao,4,"('serao', 'carie', 'marte', 'parte')",True
ambas,serao,5,"('serao', 'dicas', 'luvas', 'patas', 'ambas')",True
farda,serao,5,"('serao', 'abril', 'turma', 'carpa', 'farda')",True
sonar,serao,4,"('serao', 'solar', 'socar', 'sonar')",True
bacon,serao,3,"('serao', 'otica', 'bacon')",True
gatas,serao,5,"('serao', 'dicas', 'luvas', 'patas', 'gatas')",True
banca,serao,4,"('serao', 'cinta', 'lanca', 'banca')",True
meigo,serao,3,"('serao', 'leito', 'meigo')",True
pavao,serao,4,"('serao', 'licao', 'tufao', 'pavao')",True
fixos,serao,5,"('serao', 'mitos', 'lidos', 'pinos', 'fixos')",True
doido,serao,5,"('serao', 'cinto', 'umido', 'oxido', 'doido')",True
valer,serao,4,"('serao', 'trela', 'lacre', 'valer')",True
girar,serao,6,"('serao', 'viral', 'tirar', 'mirar', 'pirar', 'girar')",True
caspa,serao,3,"('serao', 'mista', 'caspa')",True
opcao,serao,4,"('serao', 'licao', 'nocao', 'opcao')",True
macro,serao,3,"('serao', 'traco', 'macro')",True
prego,serao,5,"('serao', 'treco', 'freio', 'dreno', 'prego')",True
perda,serao,5,"('serao', 'certa', 'perua', 'perna', 'perda')",True
enjoo,serao,3,"('serao', 'etico', 'enjoo')",True
longe,serao,4,"('serao', 'noite', 'conde', 'longe')",True
icone,serao,3,"('serao', 'noite', 'icone')",True
ferro,serao,6,"('serao', 'certo', 'lerdo', 'nervo', 'berro', 'ferro')",True
braco,serao,3,"('serao', 'traco', 'braco')",True
unida,serao,3,"('serao', 'cinta', 'unida')",True
licao,serao,2,"('serao', 'licao')",True
bambu,serao,4,"('serao', 'cinta', 'album', 'bambu')",True
dorso,serao,4,"('serao', 'curso', 'torso', 'dorso')",True
moral,serao,3,"('serao', 'coral', 'moral')",True
ameba,serao,5,"('serao', 'etica', 'plena', 'queda', 'ameba')",True
viril,serao,2,"('serao', 'viril')",True
amora,serao,4,"('serao', 'loira', 'outra', 'amora')",True
magna,serao,4,"('serao', 'cinta', 'fauna', 'magna')",True
rural,serao,4,"('serao', 'viral', 'mural', 'rural')",True
penal,serao,3,"('serao', 'metal', 'penal')",True
abuso,serao,4,"('serao', 'casto', 'aviso', 'abuso')",True
sunga,serao,3,"('serao', 'sutia', 'sunga')",True
pocao,serao,4,"('serao', 'licao', 'nocao', 'pocao')",True
erros,serao,3,"('serao', 'euros', 'erros')",True
surda,serao,2,"('serao', 'surda')",True
beber,serao,5,"('serao', 'medir', 'tecer', 'reler', 'beber')",True
cifra,serao,4,"('serao', 'latir', 'ruina', 'cifra')",True
movel,serao,3,"('serao', 'noite', 'movel')",True
atras,serao,2,"('serao', 'atras')",True
farol,serao,3,"('serao', 'porta', 'farol')",True
fugaz,serao,4,"('serao', 'vital', 'pagam', 'fugaz')",True
zerar,serao,3,"('serao', 'geral', 'zerar')",True
menta,serao,4,"('serao', 'celta', 'feita', 'menta')",True
estes,serao,3,"('serao', 'uteis', 'estes')",True
venus,serao,3,"('serao', 'tenis', 'venus')",True
vista,serao,4,"('serao', 'mista', 'pista', 'vista')",True
final,serao,3,"('serao', 'vital', 'final')",True
nevar,serao,5,"('serao', 'pecar', 'vetar', 'levar', 'nevar')",True
norma,serao,5,"('serao', 'porta', 'corda', 'morna', 'norma')",True
leste,serao,3,"('serao', 'tenis', 'leste')",True
nudez,serao,4,"('serao', 'clipe', 'nuvem', 'nudez')",True
telas,serao,3,"('serao', 'teias', 'telas')",True
tinto,serao,3,"('serao', 'cinto', 'tinto')",True
saber,serao,2,"('serao', 'saber')",True
bingo,serao,5,"('serao', 'cinto', 'lindo', 'pingo', 'bingo')",True
cacau,serao,4,"('serao', 'vital', 'pagam', 'cacau')",True
fardo,serao,4,"('serao', 'parto', 'barco', 'fardo')",True
morar,serao,4,"('serao', 'coral', 'torax', 'morar')",True
bioma,serao,4,"('serao', 'otica', 'viola', 'bioma')",True
domar,serao,5,"('serao', 'lotar', 'boiar', 'pomar', 'domar')",True
grega,serao,5,"('serao', 'trela', 'areia', 'brega', 'grega')",True
coice,serao,4,"('serao', 'noite', 'foice', 'coice')",True
ervas,serao,3,"('serao', 'estar', 'ervas')",True
medir,serao,2,"('serao', 'medir')",True
mista,serao,2,"('serao', 'mista')",True
atroz,serao,3,"('serao', 'porta', 'atroz')",True
raios,serao,2,"('serao', 'raios')",True
tosar,serao,2,"('serao', 'tosar')",True
muros,serao,3,"('serao', 'tiros', 'muros')",True
santa,serao,3,"('serao', 'sutia', 'santa')",True
desde,serao,3,"('serao', 'tenis', 'desde')",True
posto,serao,4,"('serao', 'nisto', 'custo', 'posto')",True
cesto,serao,2,"('serao', 'cesto')",True
abril,serao,2,"('serao', 'abril')",True
penta,serao,5,"('serao', 'celta', 'feita', 'menta', 'penta')",True
celta,serao,2,"('serao', 'celta')",True
mudar,serao,4,"('serao', 'citar', 'lunar', 'mudar')",True
cacho,serao,5,"('serao', 'laico', 'canto', 'campo', 'cacho')",True
bando,serao,4,"('serao', 'laico', 'manto', 'bando')",True
caixa,serao,5,"('serao', 'cinta', 'clima', 'caida', 'caixa')",True
resto,serao,2,"('serao', 'resto')",True
libra,serao,3,"('serao', 'latir', 'libra')",True
regua,serao,4,"('serao', 'letra', 'renda', 'regua')",True
calda,serao,4,"('serao', 'cinta', 'calma', 'calda')",True
preto,serao,3,"('serao', 'treco', 'preto')",True
tenue,serao,4,"('serao', 'cetim', 'lente', 'tenue')",True
vazar,serao,6,"('serao', 'citar', 'lunar', 'ambar', 'pagar', 'vazar')",True
reger,serao,6,"('serao', 'medir', 'tecer', 'reler', 'rever', 'reger')",True
usina,serao,3,"('serao', 'mista', 'usina')",True
vazia,serao,4,"('serao', 'cinta', 'duzia', 'vazia')",True
todos,serao,3,"('serao', 'mitos', 'todos')",True
durar,serao,4,"('serao', 'viral', 'curar', 'durar')",True
angra,serao,4,"('serao', 'latir', 'praca', 'angra')",True
selos,serao,2,"('serao', 'selos')",True
alias,serao,3,"('serao', 'dicas', 'alias')",True
preco,serao,3,"('serao', 'treco', 'preco')",True
bufar,serao,5,"('serao', 'citar', 'lunar', 'mudar', 'bufar')",True
nuvem,serao,3,"('serao', 'clipe', 'nuvem')",True
etica,serao,2,"('serao', 'etica')",True
lapso,serao,3,"('serao', 'casto', 'lapso')",True
uniao,serao,3,"('serao', 'licao', 'uniao')",True
civis,serao,3,"('serao', 'cutis', 'civis')",True
grito,serao,4,"('serao', 'litro', 'trico', 'grito')",True
bonus,serao,3,"('serao', 'mitos', 'bonus')",True
cinto,serao,2,"('serao', 'cinto')",True
matos,serao,4,"('serao', 'coisa', 'altos', 'matos')",True
safra,serao,3,"('serao', 'sacra', 'safra')",True
algoz,serao,4,"('serao', 'otica', 'anzol', 'algoz')",True
letra,serao,2,"('serao', 'letra')",True
dogma,serao,4,"('serao', 'otica', 'lomba', 'dogma')",True
pesca,serao,3,"('serao', 'cesta', 'pesca')",True
linho,serao,4,"('serao', 'cinto', 'lindo', 'linho')",True
tchau,serao,3,"('serao', 'vital', 'tchau')",True
graxa,serao,6,"('serao', 'latir', 'praca', 'drama', 'grana', 'graxa')",True
casal,serao,3,"('serao', 'dicas', 'casal')",True
lidos,serao,3,"('serao', 'mitos', 'lidos')",True
lorde,serao,3,"('serao', 'norte', 'lorde')",True
larva,serao,3,"('serao', 'abril', 'larva')",True
gnomo,serao,3,"('serao', 'cinto', 'gnomo')",True
